ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9.917,0.08,-0.04,0.91,-1.02,2.18,-0.02
9.937,0.08,-0.03,0.92,-1.05,2.27,-0.04
9.957,0.08,-0.03,0.92,-0.99,2.38,0.04
9.977,0.08,-0.03,0.92,-1.02,2.31,0.05
9.997,0.08,-0.04,0.92,-1.02,2.27,0.05
10.017,0.08,-0.03,0.92,-1.01,2.24,0.03
10.037,0.08,-0.04,0.92,-1.05,2.22,0.02
10.057,0.08,-0.04,0.92,-1.05,2.21,-0.02
10.077,0.08,-0.03,0.92,-1.08,2.18,-0.08
10.097,0.08,-0.03,0.92,-1.09,2.26,-0.02
10.117,0.08,-0.03,0.92,-1.02,2.22,0.03
10.137,0.08,-0.04,0.92,-0.98,2.25,-0.05
10.157,0.08,-0.03,0.92,-0.98,2.2,-0.01
10.177,0.08,-0.03,0.92,-1.02,2.23,-0.02
10.198,0.08,-0.03,0.92,-1.08,2.24,0.02
10.217,0.08,-0.04,0.92,-0.96,2.24,0.02
10.237,0.08,-0.03,0.92,-1.02,2.24,0.05
10.257,0.08,-0.03,0.92,-1.08,2.22,0.04
10.277,0.08,-0.03,0.92,-1.02,2.26,-0.03
10.297,0.08,-0.04,0.92,-0.96,2.24,0.02
10.317,0.08,-0.03,0.92,-1.01,2.15,-0.05
10.337,0.08,-0.03,0.92,-1.05,2.21,0.02
10.357,0.08,-0.04,0.92,-1.03,2.34,0.03
10.377,0.08,-0.03,0.93,-1.04,2.37,0
